"species" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "IUCN_status" "gbif_accepted" "gbif_rank" "gbif_genus" "gbif_family" "gbif_order" "gbif_class" "gbif_phylum" "gbif_IUCN"
"Acaulospora laevis" NA NA NA NA NA NA NA NA NA NA NA NA 181 401 6878601.41443772 NA NA NA NA NA 0 NA NA NA "Acaulospora laevis Gerd. & Trappe" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora longula" NA NA NA NA NA NA NA NA NA NA NA NA 45 45 47712.938426395 NA NA NA NA NA 0 NA NA NA "Acaulospora longula Spain & N.C.Schenck" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora mellea" NA NA NA NA NA NA NA NA NA NA NA NA 54 54 82447.9576008105 NA NA NA NA NA 0 NA NA NA "Acaulospora mellea Spain & N.C.Schenck" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora morrowiae" NA NA NA NA NA NA NA NA NA NA NA NA 57 57 96966.8280493757 NA NA NA NA NA 0 NA NA NA "Acaulospora morrowiae Spain & N.C.Schenck" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora paulinae" NA NA NA NA NA NA NA NA NA NA NA NA 30 30 14137.1669411541 NA NA NA NA NA 0 NA NA NA "Acaulospora paulinae Błaszk." "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora punctata" NA NA NA NA NA NA NA NA NA NA NA NA 24 24 7238.22947387088 NA NA NA NA NA 0 NA NA NA "Acaulospora punctata Oehl, Palenz., Sánchez-Castro, G.A.Silva, C.Castillo & Sieverd." "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora scrobiculata" NA NA NA NA NA NA NA NA NA NA NA NA 120 140 1055575.13160617 NA NA NA NA NA 0 NA NA NA "Acaulospora scrobiculata Trappe" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora spinosa" NA NA NA NA NA NA NA NA NA NA NA NA 198 235 4823884.10366059 NA NA NA NA NA 0 NA NA NA "Acaulospora spinosa C.Walker & Trappe" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora tuberculata" NA NA NA NA NA NA NA NA NA NA NA NA 72 85 230718.564479634 NA NA NA NA NA 0 NA NA NA "Acaulospora tuberculata Janos & Trappe" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Achroomyces disciformis" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Platygloea disciformis (Fr.) Neuhoff" "SPECIES" "Platygloea" "Platygloeaceae" "Platygloeales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
