"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "Riparian_sp" "Habitat_ephemeral" "Habitat_lakes" "Habitat_ponds" "Habitat_rivers" "Habitat_streams" "Forewing_length_mm" "Hindwing_length_mm" "Sex_dimporh" "Territoriality" "Flight_mode_flier" "Flight_mode_percher" "BodyCol_black" "BodyCol_blue" "BodyCol_brown" "BodyCol_gray" "BodyCol_green" "BodyCol_orange" "BodyCol_pink" "BodyCol_red" "BodyCol_violet" "BodyCol_white" "BodyCol_yellow" "BodyColType_pigment" "BodyColType_pruinesc" "BodyColType_structur" "BodyPatterns_plain" "BodyPatterns_spotted" "BodyPatterns_striped" "Wing_Pigment" "WP_pattern" "WP_symmetry" "WP_dimorph" "WPColor_cover" "WPCol_amber" "WPCol_black" "WPCol_blue" "WPCol_brown" "WPCol_iredesc" "WPCol_orange" "WPCol_prunesc" "WPCol_red" "WPCol_yellow" "Larva_BodyLength_mm" "Larva_BodyLength_min" "Larva_BodyLength_max" "Larva_Habitat_stillwaters" "Larva_Habitat_watercourses" "Larva_Habitat_moors" "Larva_EIV_Drought" "Larva_Biotope_range" "MISSING_ALL_TRAITS"
"Epallage fatime" "Epallage fatime (Charpentier, 1840)" "SPECIES" "accepted" "Epallage fatime (Charpentier, 1840)" "Epallage" "Euphaeidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 NA 32 "strong" NA 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 "yes" NA NA NA 0.31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Epitheca bimaculata" "Epitheca bimaculata (Charpentier, 1825)" "SPECIES" "accepted" "Epitheca bimaculata (Charpentier, 1825)" "Epitheca" "Corduliidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "EN" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1864128.56515223 60 NA NA 55 65 NA 900 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.416666666666667 NA 0 1 1 0 0 0.429553264604811 NA 1 0 1 1 0 0 NA 40 "strong" "territorial" 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 "yes" NA "hindwing" "not" 0.18 0 1 0 0 0 0 0 0 1 30 28 32 1 0 0 0 "oligotop" "NO"
"Erythromma lindenii" "Erythromma lindenii (Selys, 1840)" "SPECIES" "accepted" "Erythromma lindenii (Selys, 1840)" "Erythromma" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "NT" "LC" "VULNERABLE" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1649385.10058268 33 NA NA 30 36 NA 360 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 1 1 0 0 0 NA NA 2 0 1 0 1 0 NA 20 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 20 18 22 1 1 0 0 "oligotop" "NO"
"Erythromma najas" "Erythromma najas (Hansemann, 1823)" "SPECIES" "accepted" "Erythromma najas (Hansemann, 1823)" "Erythromma" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "VULNERABLE" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 3803025.66287947 33 NA NA 30 36 NA 75 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 1 0 0 0.388316151202749 NA 1 0 1 1 0 0 NA 22 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 28 25 31 1 0 0 0 "oligotop" "NO"
"Erythromma viridulum" "Erythromma viridulum (Charpentier, 1840)" "SPECIES" "accepted" "Erythromma viridulum (Charpentier, 1840)" "Erythromma" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 29 NA NA 26 32 NA NA NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 1 1 0 0 0 0.611683848797251 NA 1 0 1 1 1 0 NA 18 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 18.5 17 20 1 0 1 0 "oligotop" "NO"
"Gomphus flavipes" "Gomphus flavipes (Charpentier, 1825)" "SPECIES" "synonym" "Stylurus flavipes (Charpentier, 1825)" "Stylurus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "InfoSpecies" "INN" "No" "DD" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 52.5 NA NA 50 55 511.5 1080 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA NA NA 1 1 0 0 0 0.532646048109966 NA 3 0 0 0 1 0 NA 33 "strong" "territorial" 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 33 31 35 0 1 0 0 "stenotop" "NO"
"Gomphus genei" "Gomphus genei Selys, 1841" "SPECIES" "homotypic synonym" "Paragomphus genei (Selys, 1841)" "Paragomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 12991051.172156 45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 1 NA 23.5 "medium" NA 0 1 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Gomphus graslinii" "Gomphus graslinii Rambur, 1842" "SPECIES" "accepted" "Gomphus graslinii Rambur, 1842" "Gomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "Yes" NA "NT" "NEAR_THREATENED" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 223071.302340235 49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 NA 28.5 "strong" "non-territorial" 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Gomphus pulchellus" "Gomphus pulchellus Selys, 1840" "SPECIES" "accepted" "Gomphus pulchellus Selys, 1840" "Gomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "Yes" "VU" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1072214.53092937 48.5 NA NA 47 50 NA 900 NA NA NA 0.123287671232877 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 0 0 0 NA NA 2 0 0 0 0 1 NA 29.5 "strong" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 33 31 35 1 1 0 1 "eurytop" "NO"
"Gomphus schneiderii" "Gomphus schneiderii Selys, 1850" "SPECIES" "accepted" "Gomphus schneiderii Selys, 1850" "Gomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2092716.33688084 44 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 NA 30 "weak" "territorial" 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Gomphus simillimus" "Gomphus simillimus Selys, 1840" "SPECIES" "accepted" "Gomphus simillimus Selys, 1840" "Gomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "EN" "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1241226.0018779 48.5 NA NA 47 50 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 1 1 0 0 0 NA NA 3 0 0 0 1 1 NA 31 "strong" NA 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 28 27 29 0 1 0 NA "stenotop" "NO"
"Gomphus ubadschii" "Gomphus ubadschii Schmidt, 1953" "SPECIES" "synonym" "Stylurus ubadschii (Schmidt, 1953)" "Stylurus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "DD" NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Gomphus vulgatissimus" "Gomphus vulgatissimus (Linnaeus, 1758)" "SPECIES" "accepted" "Gomphus vulgatissimus (Linnaeus, 1758)" "Gomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 47.5 NA NA 45 50 NA 1080 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.541666666666667 NA 0 1 1 0 0 0.515463917525773 NA 3 0 0 0 0 1 NA 30.5 "strong" "territorial" 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 28.5 24 33 1 1 0 0 "oligotop" "NO"
"Hemianax ephippiger" "Hemianax ephippiger (Burmeister, 1839)" "SPECIES" "homotypic synonym" "Anax ephippiger (Burmeister, 1839)" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INM" "No" NA "LC" "NOT_EVALUATED" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 45416317.9594805 65.5 NA NA 61 70 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 0 0 0 NA NA 2 0 0 1 0 0 NA 44.5 "weak" NA 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 43 42 44 1 0 0 1 "oligotop" "NO"
"Ischnura aralensis" "Ischnura aralensis Haritonov, 1979" "SPECIES" "accepted" "Ischnura aralensis Haritonov, 1979" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "DD" "NEAR_THREATENED" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 89283.9885956056 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Ischnura elegans" "Ischnura elegans (Vander Linden, 1820)" "SPECIES" "accepted" "Ischnura elegans (Vander Linden, 1820)" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6099080.68429347 32 NA NA 30 34 NA 75 NA NA NA 0.136986301369863 1 1 1 1 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 1 0 0 0.621993127147766 NA 2 0 1 0 0 0 NA 18 "weak" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 19.5 18 21 1 1 1 0 "eurytop" "NO"
"Ischnura fountaineae" "Ischnura fountaineae Morton, 1905" "SPECIES" "accepted" "Ischnura fountaineae Morton, 1905" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "VU" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Ischnura genei" "Ischnura genei (Rambur, 1842)" "SPECIES" "accepted" "Ischnura genei (Rambur, 1842)" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 71310.570868353 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 NA 15.5 "weak" NA 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Ischnura graellsii" "Ischnura graellsii (Rambur, 1842)" "SPECIES" "accepted" "Ischnura graellsii (Rambur, 1842)" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 605446.078568205 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 1 NA 16 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Ischnura hastata" "Ischnura hastata (Say, 1840)" "SPECIES" "accepted" "Ischnura hastata (Say, 1840)" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "VU" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 1 0 0 NA 12 "strong" NA 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Ischnura pumilio" "Ischnura pumilio (Charpentier, 1825)" "SPECIES" "accepted" "Ischnura pumilio (Charpentier, 1825)" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 28.5 NA NA 26 31 NA 75 NA NA NA 0.0986301369863014 0 1 1 1 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 1 1 1 0 0 0.707903780068729 NA 3 1 1 0 0 0 NA 16 "strong" NA 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 17 15 19 1 1 1 0 "oligotop" "NO"
"Ischnura saharensis" "Ischnura saharensis Aguesse, 1958" "SPECIES" "accepted" "Ischnura saharensis Aguesse, 1958" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 623792.021292039 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 NA 15 "weak" NA 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Ischnura senegalensis" "Ischnura senegalensis (Rambur, 1842)" "SPECIES" "accepted" "Ischnura senegalensis (Rambur, 1842)" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 39864202.1363998 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 1 1 1 NA 14.25 "strong" NA 0 1 1 1 0 0 1 0 0 0 0 0 1 1 0 0 1 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Lestes barbarus" "Lestes barbarus (Fabricius, 1798)" "SPECIES" "accepted" "Lestes barbarus (Fabricius, 1798)" "Lestes" "Lestidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INM" "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4080918.14690077 42.5 NA NA 40 45 425 75 NA NA NA 0.120547945205479 0 1 0 0 1 0 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 0 0 0.752577319587629 NA 2 1 0 1 0 0 NA 24 "weak" NA 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 25 24 26 1 0 1 0 NA "NO"
"Lestes dryas" "Lestes dryas Kirby, 1890" "SPECIES" "accepted" "Lestes dryas Kirby, 1890" "Lestes" "Lestidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "VU" "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 37.5 NA NA 35 40 NA 75 NA NA NA 0.189041095890411 0 1 0 0 1 0 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.333333333333333 NA 0 1 1 1 1 0.525773195876289 NA 2 1 1 1 1 1 NA 22.5 "weak" NA 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 1 1 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 29 26 32 1 0 1 0 "oligotop" "NO"
"Lestes macrostigma" "Lestes macrostigma (Eversmann, 1836)" "SPECIES" "accepted" "Lestes macrostigma (Eversmann, 1836)" "Lestes" "Lestidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "VU" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 NA 26 "medium" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Lestes parvidens" "Lestes parvidens Artobolevskii, 1929" "SPECIES" "synonym" "Chalcolestes parvidens (Artobolevskii, 1929)" "Chalcolestes" "Lestidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 46.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 NA 24 NA NA 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Lestes sponsa" "Lestes sponsa (Hansemann, 1823)" "SPECIES" "accepted" "Lestes sponsa (Hansemann, 1823)" "Lestes" "Lestidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 37 NA NA 35 39 NA 75 NA NA NA 0.2 0 1 0 0 1 0 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.5 NA 0 1 1 0 0 0.525773195876289 NA 2 1 0 1 0 0 NA 20.5 "weak" NA 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 28.5 25 32 1 0 1 0 "oligotop" "NO"
"Lestes virens" "Lestes virens (Charpentier, 1825)" "SPECIES" "accepted" "Lestes virens (Charpentier, 1825)" "Lestes" "Lestidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "InfoSpecies" "INN" "No" "EN" "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 36 NA NA 30 39 NA 75 NA NA NA NA 0 1 0 0 1 0 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 0 0 0 0.422680412371134 NA 2 1 0 0 0 0 NA 21 "weak" NA 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 26 23 29 1 0 1 0 "oligotop" "NO"
